原始命令,动作主体,动作类型,动作对象,对象位置,机器人指令类型
机械臂抬起,机械臂,抬起,,,arm_lift
机械臂放下,机械臂,放下,,,arm_lower
机械臂停止,机械臂,停止,,,arm_stop
机械臂夹具打开,机械臂夹具,打开,,,
机械臂夹具关闭,机械臂夹具,关闭,,,
机械臂抓取,机械臂,抓取,,,arm_grab
机械臂松开,机械臂,松开,,,arm_release
机械臂复位,机械臂,复位,,,arm_reset
机械臂旋转到左侧,机械臂,旋转,,左侧,arm_rotate
机械臂旋转到右侧,机械臂,旋转,,右侧,arm_rotate
小车前进,小车,前进,,,vehicle_forward
小车后退,小车,后退,,,vehicle_backward
小车停止,小车,停止,,,vehicle_stop
小车左转,小车,左转,,,vehicle_turn_left
小车右转,小车,右转,,,vehicle_turn_right
小车加速,小车,加速,,,vehicle_accelerate
小车减速,小车,减速,,,vehicle_decelerate
小车鸣笛,小车,鸣笛,,,vehicle_horn
小车暂停,小车,暂停,,,vehicle_pause
小车继续,小车,继续,,,vehicle_resume
