Configuration,Position Type,X (cm),Y (cm),Z (cm)
Configuration 1,Ideal,2.5711504387461583,-10.064177772475912,22.0
Configuration 1,With Gravity,-3.9999999999999982,1.6532731788489269e-15,45.0
Configuration 1,Real,1.7887928040121816e-15,-7.778174593052025,35.435028842544405
Configuration 2,Ideal,2.5711504387461583,-10.064177772475912,22.0
Configuration 2,With Gravity,-4.883627508548365,1.6312517401885144e-15,44.640362614335096
Configuration 2,Real,1.7438540409177109e-15,-7.372615848429595,35.106681890834494
Configuration 3,Ideal,4.178097525901187,-15.069073686243254,34.23811210292219
Configuration 3,With Gravity,-9.095937488366978,-0.024922099079883867,85.73629658197852
Configuration 3,Real,0.6046426774924155,-12.951340743340184,61.516063393721964
